165	1
1200	1000	1650
0	617	0	402	0	229	1	3	1	100	100	999	0
1	600	0	400	0	105	1	3	13	100	100	999	0
2	596	0	242	0	223	1	9	1	100	100	999	0
3	593	0	398	0	236	1	2	1	100	100	999	0
4	580	0	383	0	170	1	30	18	100	100	999	0
5	571	0	374	0	162	1	73	16	100	100	999	0
6	560	0	390	0	173	1	77	18	100	100	999	0
7	555	0	374	0	162	1	154	16	100	100	999	0
8	538	0	397	0	151	1	40	17	100	100	999	0
9	513	0	399	0	151	1	58	17	100	100	999	0
10	499	0	389	0	119	1	28	12	100	100	999	0
11	498	0	348	0	386	1	1	1	100	100	999	0
12	497	0	199	0	255	1	7	3	100	100	999	0
13	488	0	281	0	346	1	3	1	100	100	999	0
14	482	0	299	0	265	1	16	15	100	100	999	0
15	480	0	338	0	155	1	63	12	100	100	999	0
16	480	0	287	0	268	1	2	4	100	100	999	0
17	478	0	344	0	153	1	220	12	100	100	999	0
18	472	0	334	0	121	1	1	1	100	100	999	0
19	465	0	174	0	270	1	1	1	100	100	999	0
20	456	0	242	0	230	1	1	1	100	100	999	0
21	449	0	329	0	255	1	3	1	100	100	999	0
22	447	0	312	0	124	1	23	9	100	100	999	0
23	447	0	230	0	254	1	4	1	100	100	999	0
24	445	0	230	0	139	1	7	2	100	100	999	0
25	440	0	320	0	124	1	17	9	100	100	999	0
26	440	0	320	0	248	1	2	1	100	100	999	0
27	440	0	320	0	124	1	1	9	100	100	999	0
28	439	0	360	0	140	1	26	12	100	100	999	0
29	432	0	210	0	216	1	6	1	100	100	999	0
30	427	0	286	0	222	1	1	2	100	100	999	0
31	414	0	164	0	257	1	10	1	100	100	999	0
32	405	0	157	0	114	1	2	1	100	100	999	0
33	404	0	200	0	288	1	1	12	100	100	999	0
34	404	0	233	0	324	1	1	1	100	100	999	0
35	400	0	232	0	323	1	1	1	100	100	999	0
36	388	0	291	0	245	1	1	11	100	100	999	0
37	384	0	321	0	362	1	12	20	100	100	999	0
38	384	0	227	0	268	1	4	11	100	100	999	0
39	383	0	210	0	239	1	11	11	100	100	999	0
40	380	0	231	0	230	1	4	1	100	100	999	0
41	380	0	219	0	232	1	1	1	100	100	999	0
42	380	0	231	0	230	1	8	1	100	100	999	0
43	377	0	302	0	304	1	12	15	100	100	999	0
44	373	0	225	0	175	1	2	17	100	100	999	0
45	368	0	215	0	290	1	10	11	100	100	999	0
46	363	0	287	0	339	1	38	14	100	100	999	0
47	358	0	282	0	339	1	56	15	100	100	999	0
48	348	0	315	0	236	1	1	1	100	100	999	0
