5	5	587	233	220
28230708	22866054
0	0	0	99	120	73	4	1	1	
0	0	73	99	120	146	4	1	1	
0	0	146	99	120	219	4	1	1	
99	0	0	198	120	73	4	1	1	
99	0	73	198	120	146	4	1	1	
99	0	146	198	120	219	4	1	1	
198	0	0	297	120	73	4	1	1	
198	0	73	297	120	146	4	1	1	
198	0	146	297	120	219	4	1	1	
297	0	0	396	120	73	4	1	1	
297	0	73	396	120	146	4	1	1	
297	0	146	396	120	219	4	1	1	
396	0	0	495	120	73	4	1	1	
396	0	73	495	120	146	4	1	1	
396	0	146	495	120	219	4	1	1	
0	125	0	76	233	30	2	2	2	
0	125	30	76	233	60	2	2	2	
0	125	60	76	233	90	2	2	2	
0	125	90	76	233	120	2	2	2	
0	125	120	76	233	150	2	2	2	
0	125	150	76	233	180	2	2	2	
0	125	180	76	233	210	2	2	2	
76	125	0	152	233	30	2	2	2	
76	125	30	152	233	60	2	2	2	
76	125	60	152	233	90	2	2	2	
76	125	90	152	233	120	2	2	2	
76	125	120	152	233	150	2	2	2	
76	125	150	152	233	180	2	2	2	
76	125	180	152	233	210	2	2	2	
152	125	0	228	233	30	2	2	2	
152	125	30	228	233	60	2	2	2	
152	125	60	228	233	90	2	2	2	
152	125	90	228	233	120	2	2	2	
152	125	120	228	233	150	2	2	2	
152	125	150	228	233	180	2	2	2	
152	125	180	228	233	210	2	2	2	
228	123	0	320	178	81	3	3	3	
228	178	0	320	233	81	3	3	3	
320	123	0	412	178	81	3	3	3	
320	178	0	412	233	81	3	3	3	
412	123	0	504	178	81	3	3	3	
412	178	0	504	233	81	3	3	3	
228	152	81	320	233	136	3	4	4	
228	152	136	320	233	191	3	4	4	
320	152	81	412	233	136	3	4	4	
320	152	136	412	233	191	3	4	4	
412	152	81	504	233	136	3	4	4	
412	152	136	504	233	191	3	4	4	
228	167	191	309	200	219	1	5	5	
228	200	191	309	233	219	1	5	5	
309	167	191	390	200	219	1	5	5	
309	200	191	390	233	219	1	5	5	
390	167	191	471	200	219	1	5	5	
390	200	191	471	233	219	1	5	5	
228	127	81	338	152	124	0	6	6	
228	127	124	338	152	167	0	6	6	
228	127	167	338	152	210	0	6	6	
338	127	81	448	152	124	0	6	6	
338	127	124	448	152	167	0	6	6	
338	127	167	448	152	210	0	6	6	
495	0	0	587	55	81	3	7	7	
495	0	81	587	55	162	3	7	7	
495	55	0	587	110	81	3	7	7	
495	55	81	587	110	162	3	7	7	
495	0	162	576	33	190	1	8	8	
495	0	190	576	33	218	1	8	8	
495	33	162	576	66	190	1	8	8	
495	33	190	576	66	218	1	8	8	
495	66	162	576	99	190	1	8	8	
495	66	190	576	99	218	1	8	8	
504	123	0	585	178	92	3	9	9	
504	123	92	585	178	184	3	9	9	
504	178	0	585	233	92	3	9	9	
504	178	92	585	233	184	3	9	9	
504	125	184	580	233	214	2	10	10	
587	0	0	697	43	25	0	11	0	
698	0	0	779	33	28	1	12	0	
780	0	0	888	76	30	2	13	0	
889	0	0	981	81	55	3	14	0	
889	0	55	981	81	110	3	14	0	
